producto,presentacion,codigo,categoria_id
"ALCOHOL ANTISEPTICO 3,785LTRS",UNIDAD ,7591472327694,1
"SOLUCION FISIOLOGICA AL 0,9% (500ML) ",UNIDAD ,7597285000052,1
ACETAMINOFEN (150MG/5ML) JARABE ,UNIDAD ,7592454003100,1
ACETAMINOFEN (120MG/5ML) JARABE ,UNIDAD ,7598484000027,1
ACETAMINOFEN (180MG/5ML) JARABE ,UNIDAD ,7591196007155,1
ACETAMINOFEN (650MG)10 TABLETAS ,UNIDAD ,7592454001243,1
"DESLORATADINA (2,5MG/5ML) JARABE ",UNIDAD ,7703763393053,1
AZITROMICINA (500MG) 5 TABLETAS ,CAJA,7594001101353,1
OMEPRAZOL (40MG) 10 CAPSULAS ,CAJA ,7591585173881,1
CETIRIZINA (10MG) 10 TABLETAS ,CAJA ,7591585174581,1
DESLORATADINA (5MG) 10 TABLETAS ,CAJA ,7591519008210,1
DICLOFENAC POTASICO (50MG) 10 TABLETAS ,CAJA ,7591196007186,1
BUDESONIDA SUSPENSION PARA NEBULIZAR ,UNIDAD ,7591585117199,1
CIPROFLOXACINO (500MG) 10 TABLETAS ,CAJA ,697454651049,1
CIPROFLOXACINO (500MG) 10 TABLETAS ,CAJA ,7598484001031,1
TRIMETROPIM + SULFAMETOXAZOL (400MG/80MG) 20 TABLETAS ,CAJA ,7592806133073,1
CETIRIZINA (10MG) 10 TABLETAS ,CAJA ,7592454138185,1
TIOCOLCHICOSIDO (4MG) 10 COMPRIMIDOS  ,CAJA ,7591585377807,1
KETOPROFENO (100MG) 10 CAPSULAS ,CAJA ,7591519000139,1
DICLOFENAC POTASICO (50MG) 30 COMPRIMIDOS ,CAJA ,7591585379245,1
DESLORATADINA (5MG) 10 TABLETAS ,CAJA ,7594001101956,1
AMBROXOL (15MG/5ML) JARABE ,UNIDAD,7592454120203,1
CETIRIZINA (1MG/ML) JARABE ,UNIDAD ,7592616083018,1
TIOCOLCHICOSIDO (4MG) 12 TABLETAS ,CAJA ,7591519007749,1
AZITROMICINA (200MG/5ML) POLVO PARA SUSPENSION ORAL ,CAJA,7750215017562,1
BUDESONIDA SUSPENSION PARA NEBULIZAR ,UNIDAD ,7591196000668,1
ACEVAL DIA (ACETAMINOFEN 650MG+ CAFEINA 20MG+ CLORFENIRAMINA 2MG) 8 TABLETAS ,CAJA,7591020009423,1
ACEVAL NOCHE (ACETAMINOFEN (650MG+ CLORFENIRAMINA 4MG) 6 TABLETAS ,CAJA,7591020009430,1
CETIRIZINA (10MG) 10 TABLETAS ,CAJA,7592601100690,1
CAPTOPRIL (50MG) 30 TABLETAS ,CAJA,7592454004138,1
AZITROMIZINA (500MG) 3 TABLETAS ,CAJA,7594001101352,1
ACETAMINOFEN (180MG/5ML) JARABE ,UNIDAD ,7591585277787,1
DESLORATADINA (5MG) 10 TABLETAS ,CAJA ,7591616576558,1
