CODIGO,ALAMACEN 1,ALAMACEN 2
7591472327694,2,1
7597285000052,57,20
7592454003100,2,0
7598484000027,2,0
7591196007155,10,7
7592454001243,16,10
7703763393053,0,2
7594001101353,5,4
7591585173881,3,0
7591585174581,0,6
7591519008210,1,2
7591196007186,4,5
7591585117199,1,2
697454651049,0,0
7598484001031,4,0
7592806133073,4,0
7592454138185,5,2
7591585377807,1,2
7591519000139,2,2
7591585379245,0,2
7594001101956,0,4
7592454120203,0,2
7592616083018,1,0
7591519007749,1,0
7750215017562,0,1
7591196000668,3,2
7591020009423,2,1
7591020009430,1,2
7592601100690,5,0
7592454004138,1,0
7594001101352,-4,4
7591585277787,1,3
7591616576558,3,3
20072026,17,0
7703712030152,0,2
6974546561049,0,3
08906051293052,9,6
7703153020064,1,2
7591062016649,0,2
7591585279248,3,3
7592454120302,3,0
7592454003667,0,4
7592616576145,2,1
7591585111906,0,1
7591519051292,1,2
0730170649487,2,4
6942189304262,2,2
7591196002303,1,1
8904179621979,1,0
697107761045,250,50
8906112616684,0,6
8906112616554,6,6
7598127002081,5,6
7598127002104,2,0
19072026,2,0
7592803004338,2,0
7599513000148,0,4
7597758000701,4,4
7591243811704,0,2
7592806112047,0,2
7598252101031,0,2
7591818113066,4,0
7599762000326,5,0
020507701005,3,0
10174937833601,1,0
810028133310,2,2
759679300179,100,50
7596793001186,50,100
6971077612509,50,100
250609,300,100
7597830005457,80,20
HW50706,80,20
7597830001404,200,100
6971077610079,400,100
7597830001701,100,100
6971077610055,100,100
6971077612349,3,3
20250910,100,100
6971077611090,100,100
6973198989896,1,1
7597830003989,4,2
0721688715092,50,50
18072026,1,0
810028133792,100,0
0117595059001295,100,0
8906148420781,5,0
